售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
698万,92036,牛街西里,"西城,牛街",2室1厅1厨1卫,中楼层 (共20层),75.84㎡,平层,54.94㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,房屋用途,二类经济适用房
890万,140823,三里河居民区,"西城,月坛",3室1厅1厨1卫,中楼层 (共6层),63.2㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
734万,169908,裕中东里,"西城,马甸",1室1厅1厨1卫,中楼层 (共6层),43.2㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
740万,169725,裕中西里,"西城,马甸",1室1厅1厨1卫,低楼层 (共6层),43.6㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
643万,99954,右安门内大街,"西城,牛街",2室1厅1厨1卫,低楼层 (共6层),64.33㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
589万,112642,马连道东街,"西城,马连道",2室1厅1厨1卫,中楼层 (共5层),52.29㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
594万,112245,长椿街东里,"西城,长椿街",2室0厅1厨1卫,中楼层 (共5层),52.92㎡,平层,37.72㎡,板楼,东,混合结构,毛坯,一梯十一户,集中供暖,无,70年,房屋用途,商品房
618万,106131,三庙街,"西城,长椿街",2室1厅1厨1卫,顶层 (共6层),58.23㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
730万,95675,月坛北小街5号院,"西城,月坛",2室1厅1厨1卫,顶层 (共4层),76.3㎡,平层,暂无数据,板楼,东,砖混结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
615万,104238,新兴东巷,"西城,西直门",2室1厅1厨1卫,低楼层 (共7层),59㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,集中供暖,无,70年,房屋用途,已购公房
770万,79341,依莲轩,"西城,马连道",2室1厅1厨1卫,中楼层 (共24层),97.05㎡,平层,78.05㎡,塔楼,东 南,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,商品房
895万,128408,华远北街,"西城,金融街",2室2厅1厨1卫,中楼层 (共17层),69.7㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
575万,91503,红莲北里,"西城,马连道",2室1厅1厨1卫,中楼层 (共6层),62.84㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯五户,集中供暖,无,70年,房屋用途,已购公房
1235万,128232,中信沁园,"西城,陶然亭",2室1厅1厨1卫,低楼层 (共20层),96.31㎡,平层,暂无数据,板塔结合,东 西,钢混结构,其他,两梯四户,集中供暖,有,70年,房屋用途,商品房
830万,89018,考拉社区,"西城,菜户营",2室2厅1厨1卫,中楼层 (共21层),93.24㎡,平层,72.97㎡,板塔结合,南 北,钢混结构,精装,四梯十八户,集中供暖,有,70年,房屋用途,商品房
745万,92318,格调,"西城,马连道",1室1厅1厨1卫,低楼层 (共23层),80.7㎡,平层,63.67㎡,板塔结合,南,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,商品房
500万,77785,馨莲茗园,"西城,马连道",1室1厅1厨1卫,低楼层 (共25层),64.28㎡,平层,50.43㎡,板塔结合,北,钢混结构,精装,四梯十二户,集中供暖,有,70年,房屋用途,商品房
570万,82609,水电部宿舍,"西城,月坛",2室1厅1厨1卫,中楼层 (共6层),69㎡,平层,48.53㎡,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,房屋用途,已购公房
566万,124670,前桃园1号,"西城,西直门",2室1厅1厨1卫,顶层 (共6层),45.4㎡,平层,30.27㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
408万,54205,华威西里,"朝阳,潘家园",3室1厅1厨1卫,中楼层 (共6层),75.27㎡,平层,57.42㎡,板楼,南 北,混合结构,简装,一梯八户,集中供暖,无,70年,房屋用途,已购公房
610万,46216,慧忠北里,"朝阳,亚运村",3室2厅1厨2卫,底层 (共22层),131.99㎡,平层,暂无数据,塔楼,西北,钢混结构,简装,三梯九户,集中供暖,有,70年,房屋用途,商品房
215万,52046,周井大院,"朝阳,管庄",1室1厅1厨1卫,底层 (共5层),41.31㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,央产房
430万,70481,静安东里,"朝阳,国展",2室1厅1厨1卫,高楼层 (共6层),61.01㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,房屋用途,商品房
575万,43703,建业苑,"朝阳,劲松",3室2厅1厨1卫,高楼层 (共7层),131.57㎡,复式,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
899万,72629,中海城南区,"朝阳,成寿寺",3室2厅1厨2卫,中楼层 (共11层),123.78㎡,平层,103.35㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,商品房
450万,45700,富华家园,"朝阳,高碑店",3室1厅1厨1卫,低楼层 (共24层),98.47㎡,平层,77.26㎡,塔楼,东北,钢混结构,精装,两梯十户,集中供暖,有,70年,房屋用途,一类经济适用房
342万,57800,武圣东里,"朝阳,劲松",2室1厅1厨1卫,中楼层 (共6层),59.17㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
610万,68896,润泽悦溪,"朝阳,北苑",2室1厅1厨2卫,中楼层 (共11层),88.54㎡,平层,70.19㎡,板塔结合,东南,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,商品房
658万,73087,芍药居北里,"朝阳,芍药居",3室1厅1厨1卫,中楼层 (共24层),90.03㎡,平层,73.52㎡,塔楼,西 西北,钢混结构,精装,三梯十户,集中供暖,有,70年,房屋用途,一类经济适用房
636万,59512,嘉润花园,"朝阳,望京",2室1厅1厨2卫,顶层 (共30层),106.87㎡,平层,83.54㎡,塔楼,东北,钢混结构,精装,三梯八户,自供暖,有,70年,房屋用途,商品房
420万,47394,金隅悦和园,"朝阳,东坝",3室1厅1厨1卫,高楼层 (共23层),88.62㎡,平层,66.76㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,未知,房屋用途,限价商品房
350万,81434,安贞里,"朝阳,安贞",1室1厅1厨1卫,中楼层 (共6层),42.98㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
355万,58990,弘善家园,"朝阳,潘家园",1室1厅1厨1卫,高楼层 (共19层),60.18㎡,平层,50.46㎡,塔楼,南,钢混结构,简装,三梯十六户,自供暖,有,70年,房屋用途,商品房
405万,81261,安园,"朝阳,亚运村",1室1厅1厨1卫,顶层 (共6层),49.84㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,房屋用途,已购公房
339万,54520,百子湾家园二区,"朝阳,百子湾",1室1厅1厨1卫,高楼层 (共22层),62.18㎡,平层,50.14㎡,板塔结合,北,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
305万,69413,安华里社区,"朝阳,安贞",1室1厅1厨1卫,底层 (共14层),43.94㎡,暂无数据,40㎡,板塔结合,南,钢混结构,简装,两梯十一户,集中供暖,有,70年,房屋用途,已购公房
670万,76476,金都杭城东区,"朝阳,百子湾",2室1厅1厨1卫,中楼层 (共26层),87.61㎡,平层,67.49㎡,板楼,南,钢混结构,精装,两梯三户,自供暖,有,70年,房屋用途,商品房
238万,46503,垡头西里,"朝阳,垡头",2室1厅1厨1卫,中楼层 (共5层),51.18㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
899万,86145,合生国际花园,"朝阳,双井",2室2厅1厨2卫,高楼层 (共18层),104.36㎡,平层,84.64㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
618万,55777,天居园,"朝阳,奥林匹克公园",2室1厅1厨2卫,中楼层 (共32层),110.8㎡,平层,暂无数据,塔楼,东 东南 北,钢混结构,精装,四梯九户,自供暖,有,70年,房屋用途,商品房
438万,55430,十里堡北里,"朝阳,十里堡",3室1厅1厨1卫,中楼层 (共14层),79.02㎡,平层,55.38㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,已购公房
600万,70176,安翔里小区,"朝阳,健翔桥",2室1厅1厨1卫,中楼层 (共14层),85.5㎡,平层,85.5㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,房屋用途,央产房
466万,39219,兴隆家园,"朝阳,高碑店",3室2厅1厨2卫,顶层 (共6层),118.82㎡,复式,105.77㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,房屋用途,商品房
935万,66810,奥林匹克花园一期,"朝阳,东坝",3室1厅1厨2卫,底层 (共5层),139.95㎡,平层,128.94㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,房屋用途,商品房
305万,64117,武圣西里,"朝阳,劲松",2室1厅1厨1卫,中楼层 (共5层),47.57㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,暂无数据,无,未知,房屋用途,已购公房
618万,48528,北苑家园茉藜园,"朝阳,北苑",3室2厅1厨2卫,中楼层 (共26层),127.35㎡,平层,100.76㎡,塔楼,西南,钢混结构,简装,三梯九户,集中供暖,有,70年,房屋用途,商品房
338万,49050,定福庄西街,"朝阳,定福庄",2室1厅1厨1卫,高楼层 (共18层),68.91㎡,平层,56.28㎡,塔楼,东南,钢混结构,简装,两梯十二户,集中供暖,有,70年,房屋用途,商品房
1190万,97870,富力城A区,"朝阳,双井",3室2厅1厨2卫,高楼层 (共26层),121.59㎡,平层,97.94㎡,板塔结合,南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,商品房
769万,71742,澳林春天一期,"朝阳,奥林匹克公园",3室2厅1厨1卫,底层 (共6层),107.19㎡,平层,91.83㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,房屋用途,商品房
675万,63806,美景东方,"朝阳,华威桥",2室2厅1厨2卫,中楼层 (共25层),105.79㎡,平层,86.71㎡,塔楼,东南,钢混结构,精装,三梯九户,集中供暖,有,70年,房屋用途,商品房
726万,69078,金隅凤麟洲,"朝阳,朝青",2室2厅1厨2卫,高楼层 (共9层),105.1㎡,平层,82.35㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
698万,55485,梵谷水郡,"朝阳,酒仙桥",3室2厅1厨2卫,中楼层 (共9层),125.8㎡,平层,105.2㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
355万,54116,康家园,"朝阳,甘露园",2室1厅1厨1卫,中楼层 (共6层),65.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
760万,48080,亮马嘉园,"朝阳,酒仙桥",3室2厅1厨2卫,高楼层 (共17层),158.07㎡,复式,131.31㎡,塔楼,西南,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
648万,43166,水郡长安,"朝阳,双桥",3室2厅1厨2卫,中楼层 (共19层),150.12㎡,平层,120.55㎡,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
950万,72459,世华泊郡,"朝阳,北苑",4室2厅1厨2卫,中楼层 (共27层),131.11㎡,平层,104.9㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
340万,79589,大成国际,"朝阳,百子湾",1室1厅1厨2卫,低楼层 (共11层),42.72㎡,复式,30.47㎡,板塔结合,东,钢混结构,精装,四梯二十四户,集中供暖,有,70年,房屋用途,商品房
660万,44472,长安花园,"朝阳,望京",3室2厅1厨2卫,低楼层 (共6层),148.41㎡,平层,134.76㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
490万,54246,富力又一城C区,"朝阳,豆各庄",2室1厅1厨1卫,低楼层 (共18层),90.33㎡,平层,72.5㎡,板楼,南,钢混结构,精装,两梯五户,自供暖,有,70年,房屋用途,商品房
393万,56809,劲松九区,"朝阳,劲松",3室1厅1厨1卫,低楼层 (共12层),69.18㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
600万,74860,安苑北里,"朝阳,亚运村",3室1厅1厨1卫,中楼层 (共25层),80.15㎡,平层,暂无数据,塔楼,东南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,商品房
330万,40181,京通苑,"朝阳,管庄",2室1厅1厨1卫,低楼层 (共24层),82.13㎡,平层,74.06㎡,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,商品房
365万,59263,平乐园小区,"朝阳,北工大",2室1厅1厨1卫,高楼层 (共6层),61.59㎡,平层,47.83㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
875万,50000,柏林爱乐二期,"朝阳,常营",4室1厅1厨3卫,顶层 (共7层),175㎡,复式,151.27㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,商品房
480万,54024,富力阳光美园,"朝阳,常营",2室1厅1厨1卫,高楼层 (共22层),88.85㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,房屋用途,限价商品房
427万,68617,团结湖中路南一条,"朝阳,团结湖",2室1厅1厨1卫,低楼层 (共6层),62.23㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
750万,59153,柏林爱乐一期,"朝阳,常营",3室2厅1厨2卫,高楼层 (共11层),126.79㎡,复式,111.81㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
580万,70083,卡布其诺,"朝阳,酒仙桥",2室1厅1厨1卫,低楼层 (共9层),82.76㎡,平层,67.34㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,房屋用途,商品房
450万,63061,望花路西里,"朝阳,望京",2室1厅1厨1卫,高楼层 (共18层),71.36㎡,平层,60㎡,塔楼,南,钢混结构,简装,一梯七户,集中供暖,有,70年,房屋用途,央产房
675万,40299,峻峰华亭,"朝阳,健翔桥",3室2厅0厨2卫,中楼层 (共11层),167.5㎡,跃层,133.53㎡,塔楼,东 西,钢混结构,精装,两梯十八户,集中供暖,有,70年,房屋用途,商品房
382万,72514,华严北里2号院,"朝阳,健翔桥",1室1厅1厨1卫,中楼层 (共11层),52.68㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,房屋用途,已购公房
375万,41223,观音惠园,"朝阳,百子湾",2室2厅1厨1卫,高楼层 (共6层),90.97㎡,平层,80.55㎡,板楼,南 北 西,混合结构,简装,一梯两户,自供暖,无,70年,房屋用途,二类经济适用房
269万,63504,武圣东里,"朝阳,劲松",1室1厅1厨1卫,高楼层 (共16层),42.36㎡,平层,42.36㎡,塔楼,南,钢混结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
519万,44842,双惠小区,"朝阳,双桥",3室2厅1厨2卫,高楼层 (共6层),115.74㎡,平层,104.77㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,房屋用途,私产
637万,59606,嘉润花园,"朝阳,望京",2室1厅1厨2卫,高楼层 (共30层),106.87㎡,平层,83.54㎡,塔楼,东南,钢混结构,精装,三梯八户,自供暖,有,70年,房屋用途,商品房
460万,45559,美然动力A2区,"朝阳,定福庄",2室1厅1厨1卫,顶层 (共14层),100.97㎡,平层,78.71㎡,板楼,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,房屋用途,商品房
1250万,69677,卧龙小区,"朝阳,亚运村",3室2厅1厨2卫,高楼层 (共24层),179.4㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯四户,集中供暖,有,70年,房屋用途,商品房
480万,67237,静安里,"朝阳,国展",3室1厅1厨1卫,中楼层 (共5层),71.39㎡,平层,暂无数据,板楼,东南 西北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
485万,82680,东大桥路,"朝阳,朝阳门外",2室1厅1厨1卫,中楼层 (共16层),58.66㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯九户,集中供暖,有,70年,房屋用途,商品房
376万,58861,松榆东里,"朝阳,北工大",2室1厅1厨1卫,高楼层 (共18层),63.88㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十户,集中供暖,有,70年,房屋用途,商品房
330万,43513,建东苑,"朝阳,管庄",2室1厅1厨1卫,顶层 (共6层),75.84㎡,平层,75.84㎡,板楼,南 北,砖混结构,精装,一梯两户,自供暖,无,70年,房屋用途,商品房
568万,61572,望京新城,"朝阳,望京",2室1厅1厨1卫,高楼层 (共27层),92.25㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,房屋用途,商品房
375万,56879,北京新天地四期,"朝阳,常营",1室1厅1厨1卫,低楼层 (共20层),65.93㎡,平层,51.01㎡,板塔结合,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
582万,61758,望京西园一区,"朝阳,望京",3室1厅1厨1卫,底层 (共7层),94.24㎡,平层,暂无数据,板楼,东 南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
312万,64731,安慧里一区,"朝阳,亚运村",1室1厅1厨1卫,中楼层 (共6层),48.2㎡,平层,暂无数据,板楼,南 西,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
206万,35064,南平里,"朝阳,首都机场",2室1厅1厨1卫,顶层 (共6层),58.75㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
315万,57482,农光东里,"朝阳,劲松",2室1厅1厨1卫,顶层 (共6层),54.8㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
440万,67870,枣营北里,"朝阳,农展馆",2室1厅1厨1卫,中楼层 (共6层),64.83㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
950万,96643,金星园,"朝阳,三元桥",2室2厅1厨1卫,高楼层 (共27层),98.3㎡,平层,81.56㎡,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
670万,94942,核桃园北里,"朝阳,东大桥",3室1厅1厨1卫,高楼层 (共20层),70.57㎡,平层,54.04㎡,板塔结合,西南,钢混结构,精装,四梯十四户,集中供暖,有,70年,房屋用途,已购公房
469万,75536,胜古南里,"朝阳,惠新西街",3室1厅1厨1卫,中楼层 (共5层),62.09㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,央产房
250万,56806,磨房南里,"朝阳,北工大",1室1厅1厨1卫,顶层 (共6层),44.01㎡,平层,44.01㎡,板楼,南,砖混结构,简装,一梯四户,集中供暖,无,70年,房屋用途,已购公房
275万,59602,炫特嘉园一期,"朝阳,石佛营",1室1厅1厨1卫,低楼层 (共22层),46.14㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,三梯十六户,集中供暖,有,70年,房屋用途,商品房
468万,56461,晨光家园,"朝阳,石佛营",2室1厅1厨1卫,中楼层 (共26层),82.89㎡,平层,67.93㎡,板塔结合,东南,钢混结构,精装,三梯八户,集中供暖,有,70年,房屋用途,商品房
286万,62858,磨房北里,"朝阳,北工大",1室1厅1厨1卫,中楼层 (共6层),45.5㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
312万,62613,南新园,"朝阳,华威桥",1室1厅1厨1卫,低楼层 (共24层),49.83㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,房屋用途,已购公房
285万,63659,松榆西里,"朝阳,潘家园",1室1厅1厨1卫,高楼层 (共6层),44.77㎡,平层,40㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
496万,75209,CBD传奇,"朝阳,大望路",1室1厅1厨1卫,低楼层 (共18层),65.95㎡,平层,46.82㎡,板楼,南 北,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
468万,76409,华严北里中科院,"朝阳,健翔桥",2室1厅1厨1卫,高楼层 (共16层),61.25㎡,平层,暂无数据,板塔结合,东,混合结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
410万,75271,新源里西,"朝阳,亮马桥",2室1厅1厨1卫,底层 (共6层),54.47㎡,平层,40.86㎡,板楼,西南 东北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
366万,53983,雅成一里,"朝阳,朝青",1室1厅1厨1卫,中楼层 (共25层),67.8㎡,平层,53.69㎡,塔楼,南,钢混结构,简装,两梯十户,自供暖,有,70年,房屋用途,商品房
410万,46815,富力又一城A区,"朝阳,豆各庄",2室2厅1厨1卫,低楼层 (共21层),87.58㎡,平层,72.14㎡,塔楼,东北,钢混结构,精装,两梯六户,自供暖,有,70年,房屋用途,商品房
748万,82973,首城国际D区,"朝阳,双井",2室1厅1厨1卫,高楼层 (共28层),90.15㎡,平层,70.41㎡,板楼,东 南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,房屋用途,商品房
257万,61646,华威西里,"朝阳,潘家园",1室1厅1厨1卫,底层 (共6层),41.69㎡,平层,32㎡,板楼,南,混合结构,简装,一梯八户,集中供暖,无,70年,房屋用途,已购公房
480万,51200,世纪龙祥嘉园,"朝阳,奥林匹克公园",2室1厅1厨1卫,底层 (共11层),93.75㎡,平层,78.73㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,房屋用途,商品房
386万,60370,柏林爱乐三期,"朝阳,常营",1室1厅1厨1卫,高楼层 (共11层),63.94㎡,平层,49.33㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
320万,63030,香河园中里,"朝阳,国展",2室1厅1厨1卫,顶层 (共6层),50.77㎡,平层,暂无数据,板楼,东南,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
720万,67391,万科星园,"朝阳,奥林匹克公园",2室1厅1厨1卫,中楼层 (共27层),106.84㎡,平层,87.81㎡,塔楼,东南,钢混结构,简装,两梯六户,自供暖,有,70年,房屋用途,商品房
398.5万,56573,双花园西里,"朝阳,双井",3室1厅1厨1卫,中楼层 (共6层),70.44㎡,平层,50.07㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
590万,58157,沿海赛洛城三期,"朝阳,百子湾",2室1厅1厨2卫,低楼层 (共14层),101.45㎡,平层,81.77㎡,板楼,南 北,钢混结构,精装,两梯五户,集中供暖,有,70年,房屋用途,商品房
450万,52436,新街坊,"朝阳,北苑",2室2厅1厨1卫,低楼层 (共15层),85.82㎡,平层,72.72㎡,板塔结合,东北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
498万,42601,艺水芳园,"朝阳,双桥",3室2厅1厨2卫,低楼层 (共17层),116.9㎡,平层,98.28㎡,板塔结合,西南,钢混结构,精装,两梯七户,自供暖,有,70年,房屋用途,商品房
630万,54189,嘉禾园,"朝阳,潘家园",3室1厅1厨1卫,中楼层 (共19层),116.26㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,房屋用途,商品房
538万,59056,柏林爱乐一期,"朝阳,常营",2室1厅1厨2卫,中楼层 (共8层),91.1㎡,平层,79.11㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
395万,64638,农光东里,"朝阳,劲松",2室1厅1厨1卫,中楼层 (共6层),61.11㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,商品房
626万,75778,美华世纪,"朝阳,建国门外",2室1厅1厨1卫,高楼层 (共12层),82.61㎡,复式,65.11㎡,塔楼,南 北,混合结构,简装,两梯十二户,自供暖,有,70年,房屋用途,商品房
329万,60859,十里堡北里,"朝阳,十里堡",2室1厅1厨1卫,低楼层 (共6层),54.06㎡,平层,37.63㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
1050万,74200,和平街十五区2号院,"朝阳,和平里",4室1厅1厨2卫,中楼层 (共18层),141.51㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,已购公房
435万,79773,安华西里社区,"朝阳,安贞",2室1厅1厨1卫,中楼层 (共6层),54.53㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
505万,46947,双惠小区,"朝阳,双桥",3室1厅1厨1卫,低楼层 (共6层),107.57㎡,平层,95.8㎡,板楼,南 北,砖混结构,简装,一梯两户,自供暖,无,70年,房屋用途,商品房
600万,51278,嘉多丽园,"朝阳,潘家园",2室1厅1厨1卫,中楼层 (共25层),117.01㎡,平层,97.12㎡,塔楼,东南,钢混结构,简装,三梯六户,集中供暖,有,70年,房屋用途,商品房
429万,62229,花家地北里,"朝阳,望京",3室1厅1厨1卫,底层 (共18层),68.94㎡,平层,暂无数据,塔楼,西南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,商品房
1207万,81931,京师园,"朝阳,奥林匹克公园",3室2厅1厨2卫,低楼层 (共21层),147.32㎡,平层,117.06㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
928万,67560,天月园,"朝阳,奥林匹克公园",3室2厅1厨2卫,低楼层 (共18层),137.36㎡,平层,114.22㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,房屋用途,商品房
750万,53476,国美第一城2号院,"朝阳,朝青",3室2厅1厨2卫,中楼层 (共27层),140.25㎡,平层,111.25㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
650万,66599,望京新城,"朝阳,望京",3室1厅1厨1卫,中楼层 (共27层),97.6㎡,平层,80㎡,塔楼,西南,混合结构,简装,三梯十二户,集中供暖,有,70年,房屋用途,商品房
399万,41168,翠成馨园E区,"朝阳,垡头",3室1厅1厨1卫,中楼层 (共28层),96.92㎡,平层,79.35㎡,塔楼,南 西 北,钢混结构,简装,三梯十二户,自供暖,有,70年,房屋用途,一类经济适用房
368万,88739,吉祥里,"朝阳,朝阳门外",1室1厅1厨1卫,低楼层 (共6层),41.47㎡,平层,暂无数据,板楼,东 南,混合结构,精装,一梯四户,集中供暖,无,70年,房屋用途,商品房
368万,60210,左家庄北里,"朝阳,国展",2室1厅1厨1卫,顶层 (共6层),61.12㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
225万,43963,金隅丽景园,"朝阳,常营",1室1厅1厨1卫,高楼层 (共28层),51.18㎡,平层,39.9㎡,板塔结合,西,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,一类经济适用房
450万,56222,安外北苑2号院,"朝阳,北苑",3室1厅1厨1卫,顶层 (共6层),80.04㎡,平层,75.22㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
