售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
740万,114163,海运仓小区,"东城,东直门",2室1厅1厨1卫,中楼层 (共7层),64.82㎡,平层,58㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,房屋用途,商品房
519万,87522,龙潭北里五条,"东城,左安门",2室1厅1厨1卫,顶层 (共5层),59.3㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
560万,92456,东环居苑,"东城,广渠门",1室1厅1厨1卫,中楼层 (共22层),60.57㎡,平层,48.58㎡,塔楼,南,钢混结构,精装,三梯十一户,集中供暖,有,70年,房屋用途,商品房
718万,88873,新景家园西区,"东城,崇文门",2室1厅1厨1卫,底层 (共16层),80.79㎡,平层,66.06㎡,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,二类经济适用房
725万,97670,兴隆都市馨园,"东城,崇文门",2室1厅1厨1卫,中楼层 (共7层),74.23㎡,平层,67.78㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,房屋用途,商品房
600万,90608,春秀路,"东城,工体",2室1厅1厨1卫,中楼层 (共21层),66.22㎡,平层,暂无数据,塔楼,南 西,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,央产房
565万,101364,和平里东街15号院,"东城,和平里",2室1厅1厨1卫,低楼层 (共12层),55.74㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,一梯八户,集中供暖,有,70年,房屋用途,央产房
655万,89555,南岗子,"东城,崇文门",3室1厅1厨1卫,低楼层 (共6层),73.14㎡,平层,51.6㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
500万,90580,安外大街3号院,"东城,安定门",2室1厅1厨1卫,高楼层 (共6层),55.2㎡,平层,50㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
860万,121418,豆瓣胡同,"东城,朝阳门内",3室1厅1厨1卫,中楼层 (共10层),70.83㎡,平层,暂无数据,板楼,东 西,钢混结构,简装,一梯四户,集中供暖,有,70年,房屋用途,商品房
685万,99233,美术馆后街,"东城,东四",2室1厅1厨1卫,顶层 (共13层),69.03㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,房屋用途,商品房
840万,75350,东方银座,"东城,东直门",2室1厅1厨2卫,高楼层 (共25层),111.48㎡,平层,77.43㎡,塔楼,西,框架结构,简装,三梯六户,集中供暖,有,70年,房屋用途,商品房
730万,121931,新景家园东区,"东城,崇文门",1室1厅1厨1卫,高楼层 (共18层),59.87㎡,平层,48.46㎡,板塔结合,西,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
849万,114699,和平里东街9号院,"东城,和平里",2室1厅1厨1卫,底层 (共16层),74.02㎡,平层,暂无数据,塔楼,东,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,央产房
530万,66492,景泰西里西区,"东城,永定门",2室1厅1厨1卫,低楼层 (共11层),79.71㎡,平层,64.78㎡,板塔结合,西北,钢混结构,简装,一梯三户,自供暖,有,70年,房屋用途,二类经济适用房
715万,70057,天天家园,"东城,永定门",2室1厅1厨1卫,中楼层 (共11层),102.06㎡,平层,79.13㎡,塔楼,西南,钢混结构,简装,两梯十六户,自供暖,有,70年,房屋用途,商品房
860万,107072,朝阳门南小街,"东城,朝阳门内",2室1厅1厨1卫,中楼层 (共11层),80.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,商品房
550万,95719,本家润园三期,"东城,东花市",1室1厅1厨1卫,低楼层 (共18层),57.46㎡,平层,47.31㎡,板塔结合,东,钢混结构,毛坯,三梯十四户,集中供暖,有,70年,房屋用途,二类经济适用房
560万,88051,东环居苑,"东城,广渠门",1室1厅1厨1卫,中楼层 (共22层),63.6㎡,平层,51.01㎡,塔楼,西,钢混结构,简装,三梯十一户,集中供暖,有,70年,房屋用途,商品房
390万,90049,郭庄北里,"东城,永定门",1室1厅1厨1卫,中楼层 (共6层),43.31㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,房屋用途,已购公房
1380万,105723,富贵园四区,"东城,东花市",3室2厅1厨2卫,中楼层 (共12层),130.53㎡,平层,107.35㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,房屋用途,商品房
1115万,59123,聚龙花园,"东城,工体",2室2厅1厨2卫,中楼层 (共8层),188.59㎡,复式,暂无数据,板塔结合,南 北,钢混结构,简装,四梯二十四户,集中供暖,有,70年,房屋用途,商品房
688万,88672,国瑞城中区,"东城,崇文门",2室1厅1厨1卫,低楼层 (共16层),77.59㎡,平层,61.85㎡,板楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,二类经济适用房
608万,83666,金鱼池中区,"东城,天坛",2室1厅1厨1卫,底层 (共7层),72.67㎡,平层,64.35㎡,板塔结合,东 西,钢混结构,精装,一梯两户,自供暖,无,70年,房屋用途,二类经济适用房
475万,103037,海晟名苑北区,"东城,工体",1室0厅1厨1卫,高楼层 (共16层),46.1㎡,平层,31.82㎡,板塔结合,西,钢混结构,简装,五梯十二户,集中供暖,有,70年,房屋用途,商品房
580万,93579,国瑞城西区,"东城,崇文门",1室0厅1厨1卫,中楼层 (共16层),61.98㎡,平层,41.88㎡,塔楼,东,钢混结构,精装,八梯二十九户,集中供暖,有,70年,房屋用途,商品房
580万,69679,冠城名敦道,"东城,广渠门",1室0厅1厨0卫,中楼层 (共23层),83.24㎡,平层,61.19㎡,塔楼,东南,钢混结构,简装,四梯十三户,集中供暖,有,70年,房屋用途,商品房
750万,103965,仓南胡同,"东城,朝阳门内",2室1厅1厨1卫,高楼层 (共7层),72.14㎡,平层,暂无数据,板楼,西北,钢混结构,精装,一梯两户,集中供暖,无,70年,房屋用途,商品房
1850万,125629,海晟名苑南区,"东城,工体",3室1厅1厨2卫,低楼层 (共22层),147.26㎡,平层,暂无数据,板塔结合,西 南,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,私产
620万,126790,交道口东大街,"东城,交道口",2室1厅1厨1卫,高楼层 (共11层),48.9㎡,平层,41㎡,板塔结合,北,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,商品房
520万,121128,新景家园东区,"东城,崇文门",1室0厅1厨1卫,低楼层 (共15层),42.93㎡,平层,33.79㎡,板楼,东,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
760万,101199,建国门北大街,"东城,建国门内",2室1厅1厨1卫,中楼层 (共17层),75.1㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,已购公房
680万,91129,甘水桥,"东城,和平里",3室1厅1厨1卫,中楼层 (共14层),74.62㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,一梯四户,集中供暖,有,70年,房屋用途,已购公房
800万,99330,外交部街,"东城,建国门内",3室1厅1厨1卫,顶层 (共6层),80.54㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
2399万,89780,当代MOMA,"东城,东直门",3室2厅1厨2卫,低楼层 (共21层),267.21㎡,平层,216.56㎡,塔楼,东北,钢混结构,精装,两梯六户,集中供暖,有,70年,房屋用途,商品房
1350万,104320,冠城名敦道,"东城,广渠门",2室1厅1厨2卫,高楼层 (共17层),129.41㎡,平层,98.22㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,房屋用途,商品房
790万,74627,太华公寓,"东城,崇文门",2室1厅1厨2卫,中楼层 (共18层),105.86㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,三梯十三户,集中供暖,有,70年,房屋用途,商品房
770万,104634,东花市北里东区,"东城,东花市",2室1厅1厨1卫,顶层 (共6层),73.59㎡,复式,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,商品房
460万,64076,新中西街,"东城,朝阳门外",3室1厅1厨1卫,底层 (共7层),71.79㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,已购公房
1749万,122565,和平里六区,"东城,和平里",4室1厅1厨2卫,中楼层 (共14层),142.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯十二户,集中供暖,有,70年,房屋用途,商品房
710万,99176,安外大街,"东城,安贞",2室1厅1厨1卫,中楼层 (共16层),71.59㎡,平层,暂无数据,板楼,东 西,钢混结构,简装,两梯十六户,集中供暖,有,70年,房屋用途,已购公房
650万,107350,福禄巷,"东城,灯市口",2室1厅1厨1卫,中楼层 (共6层),60.55㎡,平层,60.55㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
1857万,104934,花市枣苑一期,"东城,东花市",4室2厅1厨2卫,中楼层 (共18层),176.97㎡,平层,149㎡,板塔结合,东南 北,钢混结构,精装,两梯八户,自供暖,有,70年,房屋用途,商品房
